Time,Cur.,Imp.,Event,Actual,Forecast,Previous
   Time,Cur.,Imp.,Event,Actual,Forecast,Previous
"Wednesday, November 5, 2025   00:00",SGD,,Retail Sales (MoM)  (Sep),-1.4%,,0.7%
"Wednesday, November 5, 2025   00:00",SGD,,Retail Sales (YoY)  (Sep),2.8%,,5.3%
"Wednesday, November 5, 2025   02:00",EUR,,German Factory Orders (MoM)  (Sep),1.1%,0.9%,-0.4%
"Wednesday, November 5, 2025   02:15",ZAR,,S&P Global Manufacturing PMI  (Oct),48.8,,50.2
"Wednesday, November 5, 2025   02:45",EUR,,French Industrial Production (MoM)  (Sep),0.8%,0.1%,-0.9%
"Wednesday, November 5, 2025   03:15",EUR,,HCOB Spain Services PMI  (Oct),56.6,54.8,54.3
"Wednesday, November 5, 2025   03:45",EUR,,HCOB Italy Composite PMI  (Oct),53.1,,51.7
"Wednesday, November 5, 2025   03:45",EUR,,HCOB Italy Services PMI  (Oct),54.0,53.0,52.5
"Wednesday, November 5, 2025   03:50",EUR,,HCOB France Composite PMI  (Oct),47.7,46.8,48.1
"Wednesday, November 5, 2025   03:50",EUR,,HCOB France Services PMI  (Oct),48.0,47.1,48.5
"Wednesday, November 5, 2025   03:55",EUR,,HCOB Germany Composite PMI  (Oct),53.9,53.8,52.0
"Wednesday, November 5, 2025   03:55",EUR,,HCOB Germany Services PMI  (Oct),54.6,54.5,51.5
"Wednesday, November 5, 2025   04:00",GBP,,Car Registration (YoY)  (Oct),0.5%,,13.7%
"Wednesday, November 5, 2025   04:00",GBP,,United Kingdom New Passenger Cars Registration  (Oct),"144,948.0",,"312,891.0"
"Wednesday, November 5, 2025   04:00",EUR,,Italian Retail Sales (MoM)  (Sep),-0.5%,0.2%,-0.2%
"Wednesday, November 5, 2025   04:00",EUR,,Italian Retail Sales (YoY)  (Sep),0.5%,,0.6%
"Wednesday, November 5, 2025   04:00",EUR,,HCOB Eurozone Composite PMI  (Oct),52.5,52.2,51.2
"Wednesday, November 5, 2025   04:00",EUR,,HCOB Eurozone Services PMI  (Oct),53.0,52.6,51.3
"Wednesday, November 5, 2025   04:30",GBP,,S&P Global Composite PMI  (Oct),52.2,51.1,50.1
"Wednesday, November 5, 2025   04:30",GBP,,S&P Global Services PMI  (Oct),52.3,51.1,50.8
"Wednesday, November 5, 2025   05:00",EUR,,German Buba President Nagel Speaks,,,
"Wednesday, November 5, 2025   05:00",EUR,,PPI (MoM)  (Sep),-0.1%,0.0%,-0.4%
"Wednesday, November 5, 2025   05:00",EUR,,PPI (YoY)  (Sep),-0.2%,-0.2%,-0.6%
"Wednesday, November 5, 2025   07:00",USD,,MBA 30-Year Mortgage Rate,6.31%,,6.30%
"Wednesday, November 5, 2025   07:00",USD,,MBA Mortgage Applications (WoW),-1.9%,,7.1%
"Wednesday, November 5, 2025   07:00",USD,,MBA Purchase Index,163.3,,164.3
"Wednesday, November 5, 2025   07:00",USD,,Mortgage Market Index,332.3,,338.7
"Wednesday, November 5, 2025   07:00",USD,,Mortgage Refinance Index,"1,290.8",,"1,327.8"
"Wednesday, November 5, 2025   30 min",BRL,,S&P Global Composite PMI  (Oct),,,46.0
"Wednesday, November 5, 2025   30 min",BRL,,S&P Global Services PMI  (Oct),,,46.3
"Wednesday, November 5, 2025   45 min",USD,,ADP Nonfarm Employment Change  (Oct),,32K,-32K
"Wednesday, November 5, 2025   45 min",CAD,,Reserve Assets Total  (Oct),,,126.6B
"Wednesday, November 5, 2025   08:30",CAD,,Exports  (Sep),,,60.58B
"Wednesday, November 5, 2025   08:30",CAD,,Imports  (Sep),,,66.91B
"Wednesday, November 5, 2025   08:30",CAD,,Trade Balance  (Sep),,,-6.32B
"Wednesday, November 5, 2025   09:00",EUR,,Consumer Confidence  (Nov),,,-14.2
"Wednesday, November 5, 2025   09:30",CAD,,Services PMI  (Oct),,,46.30
"Wednesday, November 5, 2025   09:45",USD,,S&P Global Composite PMI  (Oct),,54.8,53.9
"Wednesday, November 5, 2025   09:45",USD,,S&P Global Services PMI  (Oct),,55.2,54.2
"Wednesday, November 5, 2025   10:00",USD,,Factory Orders (MoM),,1.4%,-1.3%
"Wednesday, November 5, 2025   10:00",USD,,Factory orders ex transportation (MoM)  (Aug),,,0.6%
"Wednesday, November 5, 2025   10:00",USD,,ISM Non-Manufacturing Business Activity  (Oct),,,49.9
"Wednesday, November 5, 2025   10:00",USD,,ISM Non-Manufacturing Employment  (Oct),,,47.2
"Wednesday, November 5, 2025   10:00",USD,,ISM Non-Manufacturing New Orders  (Oct),,,50.4
"Wednesday, November 5, 2025   10:00",USD,,ISM Non-Manufacturing PMI  (Oct),,50.7,50.0
"Wednesday, November 5, 2025   10:00",USD,,ISM Non-Manufacturing Prices  (Oct),,,69.4
"Wednesday, November 5, 2025   10:00",USD,,JOLTS Job Openings  (Sep),,,7.227M
"Wednesday, November 5, 2025   10:30",USD,,Crude Oil Inventories,,-2.500M,-6.858M
"Wednesday, November 5, 2025   10:30",USD,,EIA Refinery Crude Runs  (WoW),,,-0.511M
"Wednesday, November 5, 2025   10:30",USD,,Crude Oil Imports,,,-1.025M
"Wednesday, November 5, 2025   10:30",USD,,Cushing Crude Oil Inventories,,,1.334M
"Wednesday, November 5, 2025   10:30",USD,,Distillate Fuel Production,,,-0.134M
"Wednesday, November 5, 2025   10:30",USD,,EIA Weekly Distillates Stocks,,,-3.362M
"Wednesday, November 5, 2025   10:30",USD,,Gasoline Production,,,-0.004M
"Wednesday, November 5, 2025   10:30",USD,,Heating Oil Stockpiles,,,0.049M
"Wednesday, November 5, 2025   10:30",USD,,EIA Weekly Refinery Utilization Rates (WoW),,,-2.0%
"Wednesday, November 5, 2025   10:30",USD,,Gasoline Inventories,,,-5.941M
"Wednesday, November 5, 2025   11:10",GBP,,BoE Breeden Speaks,,,
"Wednesday, November 5, 2025   12:30",BRL,,Foreign Exchange Flows,,,0.513B
"Wednesday, November 5, 2025   13:00",USD,,U.S. President Trump Speaks,,,
"Wednesday, November 5, 2025   15:55",RUB,,Budget Balance % of GDP  (Oct),,,-1.70%
"Wednesday, November 5, 2025   16:30",CAD,,BoC Gov Macklem Speaks,,,
"Wednesday, November 5, 2025   16:30",BRL,,Interest Rate Decision,,15.00%,15.00%
"Wednesday, November 5, 2025   18:00",KRW,,Current Account  (Sep),,,9.15B
"Wednesday, November 5, 2025   18:30",JPY,,Overall wage income of employees  (Sep),,1.9%,1.5%
"Wednesday, November 5, 2025   18:30",JPY,,Overtime Pay (YoY)  (Sep),,,0.40%
"Wednesday, November 5, 2025   19:00",JPY,,Reuters Tankan Index  (Nov),,,8
"Wednesday, November 5, 2025   19:30",AUD,,Exports (MoM)  (Sep),,,-7.8%
"Wednesday, November 5, 2025   19:30",AUD,,Imports (MoM)  (Sep),,,3.2%
"Wednesday, November 5, 2025   19:30",AUD,,Trade Balance  (Sep),,3.930B,1.825B
"Wednesday, November 5, 2025   19:30",JPY,,Manufacturing & Services PMI  (Oct),,50.90,50.90
"Wednesday, November 5, 2025   19:30",JPY,,au Jibun Bank Services PMI  (Oct),,52.4,53.3
